Status,Priority,Due Date,Task,Channel,Owner,Next Step,Link,Source
Open,,,*Seaside Toolbox:* • Broken layout fixed • CSS code regenerated *Michaelis:* • Employees removed and added • Career page fixed *Clear Choice:* • 10 pages of locations completed EDS LPs: • In Progress <@U07AQ2K1U7J> <@U0A6MGN9S77>,ss-website-pod,Italo Germando,,,slack
Open,,,Thanks <@U088D41PZ44> :pray::skin-tone-4:,ss-website-pod,Christopher Belgrave,,,slack
Open,,,"*Magnify - chatbot/scheduler* • Installed • Scheduler script inserted into the home page buttons (missing from the rest of the website) *Service Scalers - UTM system* • New tracking scripts installed on landing pages • UTM revisions in GHL • Still in progress (New form on the homepage, integration, etc) *ProSewer SEO* • 8 pages of completed content *Parker and Co* • in progress <@U07AQ2K1U7J> <@U0A6MGN9S77>",ss-website-pod,Francisco,,,slack
Open,,,<@U07AQ2K1U7J> Thank you!,ss-website-pod,Italo Germando,,,slack
Open,,,thank you <@U07AQ2K1U7J>,ss-website-pod,Francisco,,,slack
Open,,,Tasks below fellas: *<@U095BK30FKQ>* • EDS LPs – build in progress (design done; copy pending) • Clear Choice Painting – content upload • Michaelis ticket *<@U088D41PZ44>* • Magnify - chatbot • Service Scalers – UTM System • ProSewer ticket • Parker and Co build,ss-website-pod,Lisa Appleby,,,slack
Open,,,"Yes , we do now <@U070JEH0746>;-) Thanks for the heads up BTW",ss-website-pod,Christopher Belgrave,,,slack
Open,,,*<@U095BK30FKQ>* • Magnify – 3 landing pages- chatbot • Parker & Co – build/designs in progress (awaiting sitemap/agenda) • Clear Choice Painting – template build + content upload • Michaelis • Sunshine Services – LLM/TrustSignal request (ticket active) • Performance of Maine – BugHerd edits • Service Scalers Website *<@U088D41PZ44>* • EDS LPs – build in progress (design done; copy pending) • Lake County Mechanical – support transition to hosting/launch prep + DNS/launch help • Service Scalers – UTM system analysis/fix • Clear Choice Painting – coordinate GBP/reviews context if needed • ProSewer SEO • Parker and Co build,ss-website-pod,Christopher Belgrave,,,slack
Open,,,"Christopher Belgrave added in Website Ongoing Management Tickets · <!date^1769709279^{date_short_pretty} {time}| > :memo: This Task Has A New Comment • Client: Minuteman Water Heaters | Website Management • Task: Emily A requested adding a photo of the Minuteman service van in front of the USS Constitution (a historical landmark in MA) to the website. Suggested placement: Greater Boston service pages Note: Emily can provide a higher resolution version if needed. Source: Slack message from Emily A at 1:16 PM • Comment: Add USS Constitution service van photo to website • From: Christopher Belgrave • To: Francisco Oliveira, Christopher Belgrave",ss-website-tickets,Notion,,,slack
Open,,"January 29, 2026","Francisco Oliveira edited in Website Ongoing Management Tickets · <!date^1769705923^{date_short_pretty} {time}| > :mega: STATUS CHANGE NOTIFICATION • Client: Service Scalers Retargeting | PPC • Task: Improvements to the UTM system on the Service Scalers website. • Status: Ticket In Progress • Changed by: Francisco Oliveira • Date: January 29, 2026 at 4:58 PM :memo: COMMENT INFORMATION • Comment: UTM system improvement • Left by: Francisco Oliveira • For: Francisco Oliveira, Christopher Belgrave • Date: January 29, 2026 at 4:58 PM",ss-website-tickets,Notion,,,slack
Open,,"January 29, 2026","Francisco Oliveira edited in Website Ongoing Management Tickets · <!date^1769705918^{date_short_pretty} {time}| > :mega: STATUS CHANGE NOTIFICATION • Client: Magnify Electric | Website Hosting • Task: Implement new Recreate AI schedulebot on Magnify Electric site once it is ready on Wednesday. Pre-book dev time for Thursday next week. • Status: Ticket In Progress • Changed by: Francisco Oliveira • Date: January 29, 2026 at 4:58 PM :memo: COMMENT INFORMATION • Comment: Pre-book dev time to implement new schedulebot for Magnify Electric as per Slack: ""@Christopher Belgrave can we pre book some time with dev team for Thursday next week? Magnify are getting a new schedulebot from a company called Recreate AI and will be ready Wednesday. Can we implement Thursday please?"" • Left by: Francisco Oliveira • For: Christopher Belgrave, Francisco Oliveira • Date: January 29, 2026 at 4:58 PM",ss-website-tickets,Notion,,,slack
Open,,"January 30, 2026","*<@U08PU57F472>* clicked on Button in Website Ongoing Management Tickets · <!date^1769695342^{date_short_pretty} {time}| > :rotating_light: NEW WEBSITE TICKET SUBMITTED :rotating_light: :arrow_right: Client: Leo Kob Co | Website Management :arrow_right: Ticket ID: WEB-2f701291401 :arrow_right: Status: Not started :arrow_right: Priority: Medium :arrow_right: Category: Client Miscellaneous Requests :arrow_right: Requester: Emily Aldred :arrow_right: Assigned To: Francisco Oliveira :arrow_right: Due Date: January 30, 2026 :arrow_right: URL Affected: <https://leokob.webflow.io/book-now> :arrow_right: Details: Small edits to the new booking page as requested by email (forwarded to you) :arrow_right: Fee: $0",ss-website-tickets,Notion,,,slack
Open,,,• Lake County Mechanical • Michaelis • Peak Electric Group • Clear Choice Painting • Gary Air • EDS,standup,Christopher Belgrave,,,slack
Open,,,• EDS Pumps LPs • EDS Pumps Website Build • Clear Choice Painting location pages,standup,Italo Germando,,,slack
Open,,,thank you! <@U070JEH0746>,ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,Tomorrow is fine <@U088D41PZ44>,ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,Is it okay until tomorrow morning? Or do we need it today? <@U070JEH0746>,ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,Thank you <@U088D41PZ44>,ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,"The homepage is done, but I need to check each page of the website <@U070JEH0746>",ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,"<@U088D41PZ44> they said this The required class name and ID must be applied to all scheduling buttons for the integration to function correctly and the form to show up. _*Button configuration*_ • *Button classname:* `schedule-btn-rai` • *Button ID:* `scheduleBtnRai` IMPORTANT: Any existing redirect URLs on these buttons should be replaced with a (*#)*. Best,",ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,Yep got it! Thanks <@U088D41PZ44>,ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,try now <https://magnifyelectric.com/> <@U070JEH0746>,ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,"I still have chirp, I need to do incognito <@U088D41PZ44>?",ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,take a look <@U070JEH0746> <https://magnifyelectric.com/>,ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,Yes please <@U088D41PZ44>,ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
Open,,,"So I should remove the chat from Chirp, right? <@U070JEH0746>",ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,thank you <@U070JEH0746>,ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,<@U088D41PZ44> just forwarded you the email chain,ss-magnify-website-management-and-hosting-wp,Craig Noonan,,,slack
